id,age,dist,income,gender,marital_status,target
464,83,3.399141009,"90-99,999",M,M,0
465,65,10.31672667,"40-49,999",M,S,0
466,92,4.261102747,"10-19,999",F,M,0
467,87,15.93434547,,M,,0
468,75,14.48135801,"10-19,999",F,S,0
469,91,10.90990139,"70-79,999",F,M,0
470,89,10.95829908,"70-79,999",F,M,0
471,65,17.43333258,"175 - 199,999",M,M,0
472,69,2.638333913,"30-39,999",F,S,0
473,73,2.003982228,"100-149,999",M,M,0
474,85,16.38918126,Under $10k,F,,0
475,79,0.838696186,"60-69,999",F,M,0
476,89,11.20080119,"50-59,999",M,S,0
477,65,11.12816964,,M,S,0
478,74,4.037759233,"175 - 199,999",M,M,0
479,69,26.12435963,"10-19,999",,S,0
480,77,8.460048714,"90-99,999",M,S,0
481,65,2.681274084,,,S,0
482,74,2.195268216,,F,S,0
483,72,2.232784883,"30-39,999",M,M,0
484,72,11.18094511,"20-29,999",M,S,0
485,83,2.451019045,"40-49,999",M,M,0
486,77,2.79939324,"70-79,999",F,M,1
487,83,0.131745268,"90-99,999",M,M,1
488,78,4.883565573,"50-59,999",M,M,1
489,79,14.26641662,"70-79,999",F,S,1
490,77,5.244328106,"90-99,999",F,M,1
491,86,17.98053219,"30-39,999",M,M,1
492,70,11.89773976,"90-99,999",F,M,1
493,91,0.728071706,"50-59,999",F,S,1
494,75,7.077038918,"10-19,999",F,M,0
495,65,10.37505719,,F,,0
496,74,3.220844822,"60-69,999",F,S,0
497,65,6.052511445,"70-79,999",F,S,0
498,92,3.17983416,"70-79,999",F,S,0
499,79,4.991158479,"90-99,999",M,M,0
500,72,9.315836906,"30-39,999",F,S,0
501,70,15.95157535,Under $10k,F,S,0
502,72,13.71911258,"20-29,999",M,M,0
503,81,6.96798791,"70-79,999",M,M,0
504,79,22.12769906,"10-19,999",F,M,0
505,70,3.871994974,"100-149,999",F,M,0
506,70,18.1508662,"40-49,999",M,S,0
507,82,1.764183942,"60-69,999",M,M,0
508,79,15.86067687,"10-19,999",F,S,0
509,73,13.04018781,"90-99,999",M,M,0
510,65,9.29502202,"10-19,999",F,M,0
511,84,7.903120545,"40-49,999",M,M,0
